Lugar de residencia;CODIGO_INE3;Anual;Medida;Valor;
Cartajima;29037;2022;Población municipal;256;
Cártama;29038;2022;Población municipal;27712;
Casabermeja;29039;2022;Población municipal;3813;
Casarabonela;29040;2022;Población municipal;2524;
Casares;29041;2022;Población municipal;7700;
Coín;29042;2022;Población municipal;24309;
Colmenar;29043;2022;Población municipal;3488;
Comares;29044;2022;Población municipal;1320;
Cómpeta;29045;2022;Población municipal;3814;
Cortes de la Frontera;29046;2022;Población municipal;2986;
Cuevas Bajas;29047;2022;Población municipal;1353;
Cuevas de San Marcos;29049;2022;Población municipal;3632;
Cuevas del Becerro;29048;2022;Población municipal;1609;
Cútar;29050;2022;Población municipal;590;
El Borge;29030;2022;Población municipal;921;
El Burgo;29031;2022;Población municipal;1791;
Estepona;29051;2022;Población municipal;74493;
Faraján;29052;2022;Población municipal;270;
Frigiliana;29053;2022;Población municipal;3282;
Fuengirola;29054;2022;Población municipal;83226;
Fuente de Piedra;29055;2022;Población municipal;2787;
Gaucín;29056;2022;Población municipal;1608;
Genalguacil;29057;2022;Población municipal;393;
Guaro;29058;2022;Población municipal;2302;
Humilladero;29059;2022;Población municipal;3282;
Igualeja;29060;2022;Población municipal;729;
Istán;29061;2022;Población municipal;1587;
Iznate;29062;2022;Población municipal;899;
Jimera de Líbar;29063;2022;Población municipal;403;
Jubrique;29064;2022;Población municipal;545;
Júzcar;29065;2022;Población municipal;247;
Macharaviaya;29066;2022;Población municipal;513;
Málaga (capital);29067;2022;Población municipal;579076;
Manilva;29068;2022;Población municipal;17157;
Marbella;29069;2022;Población municipal;150725;
Mijas;29070;2022;Población municipal;89502;
Moclinejo;29071;2022;Población municipal;1243;
Mollina;29072;2022;Población municipal;5376;
Monda;29073;2022;Población municipal;2844;
Montecorto;29903;2022;Población municipal;582;
Montejaque;29074;2022;Población municipal;938;
Nerja;29075;2022;Población municipal;21450;
Ojén;29076;2022;Población municipal;4218;
Parauta;29077;2022;Población municipal;272;
Periana;29079;2022;Población municipal;3234;
Pizarra;29080;2022;Población municipal;9661;
Pujerra;29081;2022;Población municipal;274;
Rincón de la Victoria;29082;2022;Población municipal;50569;
Riogordo;29083;2022;Población municipal;2762;
Ronda;29084;2022;Población municipal;33401;
Salares;29085;2022;Población municipal;175;
Sayalonga;29086;2022;Población municipal;1641;
Sedella;29087;2022;Población municipal;598;
Serrato;29904;2022;Población municipal;458;
Sierra de Yeguas;29088;2022;Población municipal;3393;
Teba;29089;2022;Población municipal;3729;
Tolox;29090;2022;Población municipal;2309;
Torremolinos;29901;2022;Población municipal;68819;
Torrox;29091;2022;Población municipal;19997;
Totalán;29092;2022;Población municipal;750;
Valle de Abdalajís;29093;2022;Población municipal;2473;
Vélez-Málaga;29094;2022;Población municipal;83899;
Villanueva de Algaidas;29095;2022;Población municipal;4146;
Villanueva de la Concepción;29902;2022;Población municipal;3295;
Villanueva de Tapia;29098;2022;Población municipal;1417;
Villanueva del Rosario;29096;2022;Población municipal;3339;
Villanueva del Trabuco;29097;2022;Población municipal;5340;
Viñuela;29099;2022;Población municipal;2106;
Yunquera;29100;2022;Población municipal;2841;
Aguadulce;41001;2022;Población municipal;2043;
Alanís;41002;2022;Población municipal;1689;
Albaida del Aljarafe;41003;2022;Población municipal;3236;
Alcalá de Guadaíra;41004;2022;Población municipal;75917;
Alcalá del Río;41005;2022;Población municipal;12315;
Alcolea del Río;41006;2022;Población municipal;3308;
Algámitas;41008;2022;Población municipal;1252;
Almadén de la Plata;41009;2022;Población municipal;1326;
Almensilla;41010;2022;Población municipal;6415;
Arahal;41011;2022;Población municipal;19476;
Aznalcázar;41012;2022;Población municipal;4664;
Aznalcóllar;41013;2022;Población municipal;6011;
Badolatosa;41014;2022;Población municipal;3112;
Benacazón;41015;2022;Población municipal;7299;
Bollullos de la Mitación;41016;2022;Población municipal;11136;
Bormujos;41017;2022;Población municipal;22536;
Brenes;41018;2022;Población municipal;12652;
Burguillos;41019;2022;Población municipal;6907;
Camas;41021;2022;Población municipal;27443;
Cantillana;41023;2022;Población municipal;10751;
Cañada Rosal;41901;2022;Población municipal;3379;
Carmona;41024;2022;Población municipal;29279;
Carrión de los Céspedes;41025;2022;Población municipal;2562;
Casariche;41026;2022;Población municipal;5332;
Castilblanco de los Arroyos;41027;2022;Población municipal;5027;
Castilleja de Guzmán;41028;2022;Población municipal;2866;
Castilleja de la Cuesta;41029;2022;Población municipal;17230;
Castilleja del Campo;41030;2022;Población municipal;624;
Cazalla de la Sierra;41032;2022;Población municipal;4700;
Constantina;41033;2022;Población municipal;5779;
Coria del Río;41034;2022;Población municipal;30714;
Coripe;41035;2022;Población municipal;1220;
Dos Hermanas;41038;2022;Población municipal;137561;
Écija;41039;2022;Población municipal;39743;
El Castillo de las Guardas;41031;2022;Población municipal;1529;
El Coronil;41036;2022;Población municipal;4720;
El Cuervo de Sevilla;41903;2022;Población municipal;8623;
El Garrobo;41043;2022;Población municipal;821;
El Madroño;41057;2022;Población municipal;290;
El Palmar de Troya;41904;2022;Población municipal;2343;
El Pedroso;41073;2022;Población municipal;2039;
El Real de la Jara;41080;2022;Población municipal;1510;
El Ronquillo;41083;2022;Población municipal;1474;
El Rubio;41084;2022;Población municipal;3352;
El Saucejo;41090;2022;Población municipal;4233;
El Viso del Alcor;41102;2022;Población municipal;19161;
Espartinas;41040;2022;Población municipal;16401;
Estepa;41041;2022;Población municipal;12390;
Fuentes de Andalucía;41042;2022;Población municipal;7173;
Gelves;41044;2022;Población municipal;10317;
Gerena;41045;2022;Población municipal;7774;
Gilena;41046;2022;Población municipal;3702;
Gines;41047;2022;Población municipal;13507;
Guadalcanal;41048;2022;Población municipal;2589;
Guillena;41049;2022;Población municipal;13279;
Herrera;41050;2022;Población municipal;6503;
Huévar del Aljarafe;41051;2022;Población municipal;3209;
Isla Mayor;41902;2022;Población municipal;5767;
La Algaba;41007;2022;Población municipal;16491;
La Campana;41022;2022;Población municipal;5177;
La Luisiana;41056;2022;Población municipal;4588;
La Puebla de Cazalla;41077;2022;Población municipal;10903;
La Puebla de los Infantes;41078;2022;Población municipal;2990;
La Puebla del Río;41079;2022;Población municipal;11855;
La Rinconada;41081;2022;Población municipal;39509;
La Roda de Andalucía;41082;2022;Población municipal;4230;
Lantejuela;41052;2022;Población municipal;3865;
Las Cabezas de San Juan;41020;2022;Población municipal;16386;
Las Navas de la Concepción;41066;2022;Población municipal;1552;
Lebrija;41053;2022;Población municipal;27665;
Lora de Estepa;41054;2022;Población municipal;883;
Lora del Río;41055;2022;Población municipal;18417;
Los Corrales;41037;2022;Población municipal;3984;
Los Molares;41063;2022;Población municipal;3559;
Los Palacios y Villafranca;41069;2022;Población municipal;38662;
Mairena del Alcor;41058;2022;Población municipal;23938;
Mairena del Aljarafe;41059;2022;Población municipal;47161;
Marchena;41060;2022;Población municipal;19264;
Marinaleda;41061;2022;Población municipal;2579;
Martín de la Jara;41062;2022;Población municipal;2643;
Montellano;41064;2022;Población municipal;6976;
Morón de la Frontera;41065;2022;Población municipal;27357;
Olivares;41067;2022;Población municipal;9444;
Osuna;41068;2022;Población municipal;17442;
Palomares del Río;41070;2022;Población municipal;9083;
Paradas;41071;2022;Población municipal;6832;
Pedrera;41072;2022;Población municipal;5110;
Peñaflor;41074;2022;Población municipal;3685;
Pilas;41075;2022;Población municipal;13964;
Pruna;41076;2022;Población municipal;2563;
Salteras;41085;2022;Población municipal;5616;
San Juan de Aznalfarache;41086;2022;Población municipal;22138;
San Nicolás del Puerto;41088;2022;Población municipal;602;
Sanlúcar la Mayor;41087;2022;Población municipal;14120;
Santiponce;41089;2022;Población municipal;8507;
Sevilla (capital);41091;2022;Población municipal;681998;
Tocina;41092;2022;Población municipal;9484;
Tomares;41093;2022;Población municipal;25341;
Umbrete;41094;2022;Población municipal;9253;
Utrera;41095;2022;Población municipal;51402;
Valencina de la Concepción;41096;2022;Población municipal;7988;
Villamanrique de la Condesa;41097;2022;Población municipal;4580;
Villanueva de San Juan;41100;2022;Población municipal;1037;
Villanueva del Ariscal;41098;2022;Población municipal;6715;
Villanueva del Río y Minas;41099;2022;Población municipal;4934;
Villaverde del Río;41101;2022;Población municipal;7711;
