Lugar de residencia;CODIGO_INE3;Anual;Medida;Valor;
Torre Alháquime;11036;2022;Población municipal;803;
Trebujena;11037;2022;Población municipal;7010;
Ubrique;11038;2022;Población municipal;16383;
Vejer de la Frontera;11039;2022;Población municipal;12656;
Villaluenga del Rosario;11040;2022;Población municipal;462;
Villamartín;11041;2022;Población municipal;12095;
Zahara;11042;2022;Población municipal;1371;
Adamuz;14001;2022;Población municipal;4125;
Aguilar de la Frontera;14002;2022;Población municipal;13318;
Alcaracejos;14003;2022;Población municipal;1493;
Almedinilla;14004;2022;Población municipal;2350;
Almodóvar del Río;14005;2022;Población municipal;8093;
Añora;14006;2022;Población municipal;1509;
Baena;14007;2022;Población municipal;18764;
Belalcázar;14008;2022;Población municipal;3166;
Belmez;14009;2022;Población municipal;2862;
Benamejí;14010;2022;Población municipal;4974;
Bujalance;14012;2022;Población municipal;7257;
Cabra;14013;2022;Población municipal;20097;
Cañete de las Torres;14014;2022;Población municipal;2859;
Carcabuey;14015;2022;Población municipal;2367;
Cardeña;14016;2022;Población municipal;1455;
Castro del Río;14019;2022;Población municipal;7711;
Conquista;14020;2022;Población municipal;380;
Córdoba (capital);14021;2022;Población municipal;319515;
Doña Mencía;14022;2022;Población municipal;4583;
Dos Torres;14023;2022;Población municipal;2402;
El Carpio;14018;2022;Población municipal;4353;
El Guijo;14034;2022;Población municipal;344;
El Viso;14074;2022;Población municipal;2528;
Encinas Reales;14024;2022;Población municipal;2266;
Espejo;14025;2022;Población municipal;3245;
Espiel;14026;2022;Población municipal;2423;
Fernán-Núñez;14027;2022;Población municipal;9646;
Fuente Carreteros;14901;2022;Población municipal;1109;
Fuente la Lancha;14028;2022;Población municipal;329;
Fuente Obejuna;14029;2022;Población municipal;4462;
Fuente Palmera;14030;2022;Población municipal;9879;
Fuente-Tójar;14031;2022;Población municipal;663;
Guadalcázar;14033;2022;Población municipal;1552;
Hinojosa del Duque;14035;2022;Población municipal;6640;
Hornachuelos;14036;2022;Población municipal;4450;
Iznájar;14037;2022;Población municipal;4002;
La Carlota;14017;2022;Población municipal;14324;
La Granjuela;14032;2022;Población municipal;414;
La Guijarrosa;14902;2022;Población municipal;1341;
La Rambla;14057;2022;Población municipal;7525;
La Victoria;14065;2022;Población municipal;2316;
Los Blázquez;14011;2022;Población municipal;661;
Lucena;14038;2022;Población municipal;42645;
Luque;14039;2022;Población municipal;2926;
Montalbán de Córdoba;14040;2022;Población municipal;4494;
Montemayor;14041;2022;Población municipal;3869;
Montilla;14042;2022;Población municipal;22490;
Montoro;14043;2022;Población municipal;9203;
Monturque;14044;2022;Población municipal;1933;
Moriles;14045;2022;Población municipal;3673;
Nueva Carteya;14046;2022;Población municipal;5347;
Obejo;14047;2022;Población municipal;2054;
Palenciana;14048;2022;Población municipal;1461;
Palma del Río;14049;2022;Población municipal;20810;
Pedro Abad;14050;2022;Población municipal;2809;
Pedroche;14051;2022;Población municipal;1481;
Peñarroya-Pueblonuevo;14052;2022;Población municipal;10419;
Posadas;14053;2022;Población municipal;7267;
Pozoblanco;14054;2022;Población municipal;17102;
Priego de Córdoba;14055;2022;Población municipal;22092;
Puente Genil;14056;2022;Población municipal;29748;
Rute;14058;2022;Población municipal;9801;
San Sebastián de los Ballesteros;14059;2022;Población municipal;835;
Santa Eufemia;14061;2022;Población municipal;734;
Santaella;14060;2022;Población municipal;4637;
Torrecampo;14062;2022;Población municipal;1032;
Valenzuela;14063;2022;Población municipal;1079;
Valsequillo;14064;2022;Población municipal;347;
Villa del Río;14066;2022;Población municipal;6993;
Villafranca de Córdoba;14067;2022;Población municipal;4872;
Villaharta;14068;2022;Población municipal;632;
Villanueva de Córdoba;14069;2022;Población municipal;8587;
Villanueva del Duque;14070;2022;Población municipal;1431;
Villanueva del Rey;14071;2022;Población municipal;1007;
Villaralto;14072;2022;Población municipal;1111;
Villaviciosa de Córdoba;14073;2022;Población municipal;3160;
Zuheros;14075;2022;Población municipal;631;
Agrón;18001;2022;Población municipal;247;
Alamedilla;18002;2022;Población municipal;567;
Albolote;18003;2022;Población municipal;19199;
Albondón;18004;2022;Población municipal;724;
Albuñán;18005;2022;Población municipal;407;
Albuñol;18006;2022;Población municipal;7420;
Albuñuelas;18007;2022;Población municipal;787;
Aldeire;18010;2022;Población municipal;603;
Alfacar;18011;2022;Población municipal;5585;
Algarinejo;18012;2022;Población municipal;2436;
Alhama de Granada;18013;2022;Población municipal;5703;
Alhendín;18014;2022;Población municipal;9941;
Alicún de Ortega;18015;2022;Población municipal;458;
Almegíjar;18016;2022;Población municipal;328;
Almuñécar;18017;2022;Población municipal;26748;
Alpujarra de la Sierra;18904;2022;Población municipal;922;
Alquife;18018;2022;Población municipal;586;
Arenas del Rey;18020;2022;Población municipal;623;
Armilla;18021;2022;Población municipal;24629;
Atarfe;18022;2022;Población municipal;19452;
Baza;18023;2022;Población municipal;20376;
Beas de Granada;18024;2022;Población municipal;986;
Beas de Guadix;18025;2022;Población municipal;319;
Benalúa;18027;2022;Población municipal;3260;
Benalúa de las Villas;18028;2022;Población municipal;1058;
Benamaurel;18029;2022;Población municipal;2275;
Bérchules;18030;2022;Población municipal;694;
Bubión;18032;2022;Población municipal;323;
Busquístar;18033;2022;Población municipal;302;
Cacín;18034;2022;Población municipal;547;
Cádiar;18035;2022;Población municipal;1542;
Cájar;18036;2022;Población municipal;5389;
Calicasas;18037;2022;Población municipal;658;
Campotéjar;18038;2022;Población municipal;1231;
Caniles;18039;2022;Población municipal;4018;
Cáñar;18040;2022;Población municipal;400;
Capileira;18042;2022;Población municipal;578;
Carataunas;18043;2022;Población municipal;201;
Cástaras;18044;2022;Población municipal;233;
Castilléjar;18045;2022;Población municipal;1312;
Castril;18046;2022;Población municipal;2019;
Cenes de la Vega;18047;2022;Población municipal;8121;
Chauchina;18059;2022;Población municipal;5667;
Chimeneas;18061;2022;Población municipal;1254;
Churriana de la Vega;18062;2022;Población municipal;16026;
Cijuela;18048;2022;Población municipal;3537;
Cogollos de Guadix;18049;2022;Población municipal;636;
Cogollos de la Vega;18050;2022;Población municipal;2042;
Colomera;18051;2022;Población municipal;1291;
Cortes de Baza;18053;2022;Población municipal;1824;
Cortes y Graena;18054;2022;Población municipal;994;
Cuevas del Campo;18912;2022;Población municipal;1767;
Cúllar;18056;2022;Población municipal;4017;
Cúllar Vega;18057;2022;Población municipal;7681;
Darro;18063;2022;Población municipal;1652;
Dehesas de Guadix;18064;2022;Población municipal;404;
Dehesas Viejas;18065;2022;Población municipal;666;
Deifontes;18066;2022;Población municipal;2615;
Diezma;18067;2022;Población municipal;763;
Dílar;18068;2022;Población municipal;2188;
Dólar;18069;2022;Población municipal;614;
Domingo Pérez de Granada;18915;2022;Población municipal;849;
Dúdar;18070;2022;Población municipal;355;
Dúrcal;18071;2022;Población municipal;7216;
El Pinar;18910;2022;Población municipal;896;
El Valle;18902;2022;Población municipal;917;
Escúzar;18072;2022;Población municipal;835;
Ferreira;18074;2022;Población municipal;305;
Fonelas;18076;2022;Población municipal;981;
Fornes;18077;2022;Población municipal;519;
Freila;18078;2022;Población municipal;906;
Fuente Vaqueros;18079;2022;Población municipal;4451;
Galera;18082;2022;Población municipal;1116;
Gobernador;18083;2022;Población municipal;210;
Gójar;18084;2022;Población municipal;6096;
Gor;18085;2022;Población municipal;735;
Gorafe;18086;2022;Población municipal;377;
Granada (capital);18087;2022;Población municipal;228682;
Guadahortuna;18088;2022;Población municipal;1836;
Guadix;18089;2022;Población municipal;18493;
Gualchos;18093;2022;Población municipal;5292;
Güéjar Sierra;18094;2022;Población municipal;2880;
Güevéjar;18095;2022;Población municipal;2664;
Huélago;18096;2022;Población municipal;373;
Huéneja;18097;2022;Población municipal;1207;
Huéscar;18098;2022;Población municipal;7246;
Huétor de Santillán;18099;2022;Población municipal;1923;
Huétor Tájar;18100;2022;Población municipal;10543;
Huétor Vega;18101;2022;Población municipal;12089;
Íllora;18102;2022;Población municipal;10020;
Ítrabo;18103;2022;Población municipal;937;
Iznalloz;18105;2022;Población municipal;5142;
Játar;18106;2022;Población municipal;579;
Jayena;18107;2022;Población municipal;1008;
Jérez del Marquesado;18108;2022;Población municipal;956;
Jete;18109;2022;Población municipal;1008;
Jun;18111;2022;Población municipal;3991;
Juviles;18112;2022;Población municipal;134;
La Calahorra;18114;2022;Población municipal;664;
La Malahá;18126;2022;Población municipal;1810;
La Peza;18154;2022;Población municipal;1149;
La Taha;18901;2022;Población municipal;727;
La Zubia;18193;2022;Población municipal;19593;
Láchar;18115;2022;Población municipal;3657;
Lanjarón;18116;2022;Población municipal;3615;
Lanteira;18117;2022;Población municipal;566;
Las Gabias;18905;2022;Población municipal;22312;
Lecrín;18119;2022;Población municipal;2225;
Lentegí;18120;2022;Población municipal;335;
Lobras;18121;2022;Población municipal;135;
Loja;18122;2022;Población municipal;20555;
Los Guájares;18906;2022;Población municipal;1100;
Lugros;18123;2022;Población municipal;304;
Lújar;18124;2022;Población municipal;483;
Maracena;18127;2022;Población municipal;22293;
Marchal;18128;2022;Población municipal;414;
Moclín;18132;2022;Población municipal;3607;
Molvízar;18133;2022;Población municipal;2731;
Monachil;18134;2022;Población municipal;8182;
Montefrío;18135;2022;Población municipal;5406;
Montejícar;18136;2022;Población municipal;2058;
Montillana;18137;2022;Población municipal;1083;
Moraleda de Zafayona;18138;2022;Población municipal;3123;
Morelábor;18909;2022;Población municipal;582;
Motril;18140;2022;Población municipal;58798;
Murtas;18141;2022;Población municipal;463;
Nevada;18903;2022;Población municipal;1086;
Nigüelas;18143;2022;Población municipal;1225;
Nívar;18144;2022;Población municipal;1099;
Ogíjares;18145;2022;Población municipal;14627;
Orce;18146;2022;Población municipal;1148;
Órgiva;18147;2022;Población municipal;5791;
Otívar;18148;2022;Población municipal;1004;
Padul;18150;2022;Población municipal;9158;
Pampaneira;18151;2022;Población municipal;319;
Pedro Martínez;18152;2022;Población municipal;1120;
Peligros;18153;2022;Población municipal;11624;
Pinos Genil;18157;2022;Población municipal;1530;
Pinos Puente;18158;2022;Población municipal;9804;
Píñar;18159;2022;Población municipal;1106;
Polícar;18161;2022;Población municipal;262;
Polopos;18162;2022;Población municipal;1630;
Pórtugos;18163;2022;Población municipal;397;
Puebla de Don Fadrique;18164;2022;Población municipal;2197;
Pulianas;18165;2022;Población municipal;5495;
Purullena;18167;2022;Población municipal;2329;
Quéntar;18168;2022;Población municipal;972;
Rubite;18170;2022;Población municipal;403;
Salar;18171;2022;Población municipal;2612;
Salobreña;18173;2022;Población municipal;12477;
Santa Cruz del Comercio;18174;2022;Población municipal;539;
Santa Fe;18175;2022;Población municipal;15042;
Soportújar;18176;2022;Población municipal;265;
Sorvilán;18177;2022;Población municipal;535;
Torre-Cardela;18178;2022;Población municipal;709;
Torrenueva Costa;18916;2022;Población municipal;3038;
Torvizcón;18179;2022;Población municipal;650;
Trevélez;18180;2022;Población municipal;712;
Turón;18181;2022;Población municipal;235;
Ugíjar;18182;2022;Población municipal;2555;
Valderrubio;18914;2022;Población municipal;2045;
Valle del Zalabí;18907;2022;Población municipal;2087;
Válor;18183;2022;Población municipal;678;
Vegas del Genil;18911;2022;Población municipal;11874;
Vélez de Benaudalla;18184;2022;Población municipal;2960;
Ventas de Huelma;18185;2022;Población municipal;641;
Villa de Otura;18149;2022;Población municipal;7362;
Villamena;18908;2022;Población municipal;954;
Villanueva de las Torres;18187;2022;Población municipal;536;
Villanueva Mesía;18188;2022;Población municipal;2031;
Víznar;18189;2022;Población municipal;987;
Zafarraya;18192;2022;Población municipal;2123;
Zagra;18913;2022;Población municipal;931;
Zújar;18194;2022;Población municipal;2501;
Alájar;21001;2022;Población municipal;802;
Aljaraque;21002;2022;Población municipal;22078;
Almonaster la Real;21004;2022;Población municipal;1785;
Almonte;21005;2022;Población municipal;25448;
Alosno;21006;2022;Población municipal;3940;
Aracena;21007;2022;Población municipal;8240;
Aroche;21008;2022;Población municipal;3024;
Arroyomolinos de León;21009;2022;Población municipal;951;
Ayamonte;21010;2022;Población municipal;21725;
Beas;21011;2022;Población municipal;4465;
Berrocal;21012;2022;Población municipal;302;
Bollullos Par del Condado;21013;2022;Población municipal;14293;
Bonares;21014;2022;Población municipal;6093;
Cabezas Rubias;21015;2022;Población municipal;705;
Cala;21016;2022;Población municipal;1155;
Calañas;21017;2022;Población municipal;2734;
Campofrío;21019;2022;Población municipal;742;
Cañaveral de León;21020;2022;Población municipal;393;
Cartaya;21021;2022;Población municipal;20717;
Castaño del Robledo;21022;2022;Población municipal;227;
Chucena;21030;2022;Población municipal;2229;
Corteconcepción;21024;2022;Población municipal;561;
Cortegana;21025;2022;Población municipal;4636;
Cortelazor;21026;2022;Población municipal;302;
Cumbres de Enmedio;21027;2022;Población municipal;59;
Cumbres de San Bartolomé;21028;2022;Población municipal;377;
Cumbres Mayores;21029;2022;Población municipal;1737;
El Almendro;21003;2022;Población municipal;848;
El Campillo;21018;2022;Población municipal;2018;
El Cerro de Andévalo;21023;2022;Población municipal;2286;
El Granado;21037;2022;Población municipal;507;
Encinasola;21031;2022;Población municipal;1275;
Escacena del Campo;21032;2022;Población municipal;2288;
Fuenteheridos;21033;2022;Población municipal;778;
Galaroza;21034;2022;Población municipal;1373;
Gibraleón;21035;2022;Población municipal;12930;
Higuera de la Sierra;21038;2022;Población municipal;1320;
Hinojales;21039;2022;Población municipal;335;
Hinojos;21040;2022;Población municipal;3951;
Huelva (capital);21041;2022;Población municipal;141854;
Isla Cristina;21042;2022;Población municipal;21523;
Jabugo;21043;2022;Población municipal;2243;
La Granada de Río-Tinto;21036;2022;Población municipal;254;
La Nava;21051;2022;Población municipal;247;
La Palma del Condado;21054;2022;Población municipal;10770;
La Zarza-Perrunal;21902;2022;Población municipal;1230;
Lepe;21044;2022;Población municipal;28617;
Linares de la Sierra;21045;2022;Población municipal;276;
Los Marines;21048;2022;Población municipal;410;
Lucena del Puerto;21046;2022;Población municipal;3213;
Manzanilla;21047;2022;Población municipal;2119;
Minas de Riotinto;21049;2022;Población municipal;3738;
Moguer;21050;2022;Población municipal;22643;
Nerva;21052;2022;Población municipal;5100;
Niebla;21053;2022;Población municipal;4196;
Palos de la Frontera;21055;2022;Población municipal;12483;
Paterna del Campo;21056;2022;Población municipal;3478;
Paymogo;21057;2022;Población municipal;1124;
Puebla de Guzmán;21058;2022;Población municipal;3092;
Puerto Moral;21059;2022;Población municipal;281;
Punta Umbría;21060;2022;Población municipal;16167;
Rociana del Condado;21061;2022;Población municipal;7866;
Rosal de la Frontera;21062;2022;Población municipal;1698;
San Bartolomé de la Torre;21063;2022;Población municipal;3906;
San Juan del Puerto;21064;2022;Población municipal;9532;
San Silvestre de Guzmán;21066;2022;Población municipal;659;
Sanlúcar de Guadiana;21065;2022;Población municipal;402;
Santa Ana la Real;21067;2022;Población municipal;473;
Santa Bárbara de Casa;21068;2022;Población municipal;1075;
Santa Olalla del Cala;21069;2022;Población municipal;2028;
Trigueros;21070;2022;Población municipal;7926;
Valdelarco;21071;2022;Población municipal;239;
Valverde del Camino;21072;2022;Población municipal;12721;
Villablanca;21073;2022;Población municipal;2945;
Villalba del Alcor;21074;2022;Población municipal;3316;
Villanueva de las Cruces;21075;2022;Población municipal;377;
Villanueva de los Castillejos;21076;2022;Población municipal;2923;
Villarrasa;21077;2022;Población municipal;2190;
Zalamea la Real;21078;2022;Población municipal;3026;
Zufre;21079;2022;Población municipal;774;
Albanchez de Mágina;23001;2022;Población municipal;993;
Alcalá la Real;23002;2022;Población municipal;21556;
Alcaudete;23003;2022;Población municipal;10347;
Aldeaquemada;23004;2022;Población municipal;463;
